日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1150326","2903","遠百","721746","16555802","23.00","23.00","22.80","22.95","0.1000","505"
"1150326","2904","匯僑","77076","1299230","16.80","16.95","16.80","16.95","0.2000","83"
"1150326","2905","三商","476842","6904920","14.70","14.70","14.30","14.50","-0.0500","371"
"1150326","2906","高林","74868","988313","13.35","13.35","13.10","13.20","-0.0500","98"
"1150326","2908","特力","70183","1400539","20.05","20.05","19.90","20.00","0.1000","24"
"1150326","2910","統領","7000","148450","21.35","21.35","21.10","21.25","0.0500","7"
"1150326","2911","麗嬰房","31500","160270","5.10","5.10","5.08","5.10","0.0300","289"
"1150326","2912","統一超","2760885","605555557","217.00","221.00","216.00","220.00","4.0000","3341"
"1150326","2913","農林","2796568","34980462","12.30","12.65","12.30","12.55","0.3000","1321"
"1150326","2915","潤泰全","888254","42177110","47.40","47.75","47.20","47.50","0.2500","908"
"1150326","2923","鼎固-KY","35659","660641","19.00","19.00","18.15","18.40","-0.1500","68"
"1150326","2929","淘帝-KY","186695","1164676","6.20","6.32","6.20","6.22","-0.0300","230"
"1150326","2939","永邑-KY","8021","210396","25.90","26.40","25.90","26.40","0.3000","29"
"1150326","2945","三商家購","4252","173564","40.90","40.90","40.80","40.80","-0.1000","12"
"1150326","3002","歐格","207401","4038999","19.80","19.80","19.15","19.15","-0.5000","181"
"1150326","3003","健和興","324416","16532262","51.10","51.70","50.50","50.70","0.1000","303"
"1150326","3004","豐達科","171488","17673158","104.00","105.00","101.50","101.50","-2.0000","335"
"1150326","3005","神基","9321009","1030257403","113.00","113.50","109.00","109.50","-3.0000","8212"
"1150326","3006","晶豪科","6364298","1075435438","172.00","176.00","164.00","168.50","-9.0000","7075"
